,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9
state_0,2,1,0,0,0,-1,1,-1,-1,1
state_1,1,2,0,1,1,2,0,1,-1,1
state_2,0,1,0,-1,2,-1,-1,0,0,2
state_3,1,-1,-1,2,1,0,2,0,-1,0
state_4,2,-1,0,2,-1,1,2,-1,2,2
state_5,1,1,2,-1,-1,-1,-1,0,0,2
state_6,-1,2,-1,2,1,0,1,1,0,1
state_7,1,1,1,0,0,1,0,1,-1,1
state_8,0,1,-1,-1,-1,2,-1,0,1,-1
state_9,1,2,-1,-1,1,-1,1,-1,0,1
state_10,-1,0,-1,0,-1,2,1,1,1,2
state_11,-1,-1,-1,-1,-1,-1,0,2,1,1
state_12,-1,2,2,2,1,2,2,0,1,2
state_13,0,0,1,-1,-1,1,1,-1,-1,-1
state_14,0,1,1,2,1,-1,2,2,-1,0
state_15,-1,-1,2,1,0,0,2,2,0,0
state_16,1,2,0,-1,2,1,-1,-1,-1,1
state_17,2,0,-1,0,1,0,-1,1,2,-1
state_18,0,0,0,1,1,-1,0,0,1,1
state_19,2,2,1,1,-1,1,-1,1,1,0
